Site,Name,Price,RAM,Storage,Url
refurbed.dk,Apple MacBook Air 2020 | 13.3&quot; | M1,3295 kr.,8.0 GB,128 GB,https://www.refurbed.dk/p/apple-macbook-air-m1-2020/
refurbed.dk,Apple MacBook Pro 2021 M1 | 14.2&quot;,5709 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/apple-macbook-pro-2021-m1-14/
refurbed.dk,Lenovo ThinkPad T490s | i5-8365U | 14&quot;,2289 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp490s-8365u/
refurbed.dk,Apple MacBook Air 2020 | 13.3&quot;,2865 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/apple-macbook-air-2020/
refurbed.dk,Lenovo ThinkPad T490 | i5-8265U | 14&quot;,1765 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-t490-8265u/
refurbed.dk,Apple MacBook Air 2024 | 15.3&quot; | M3,7865 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/apple-macbook-air-m3-2024-15/
refurbed.dk,HP EliteBook x360 830 G6 | i7-8565U | 13.3&quot;,3735 kr.,16.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-x360-830-g6-8565u/
refurbed.dk,Apple MacBook Air 2022 | 13.6&quot; | M2,4675 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/apple-macbook-air-m2-2022/
refurbed.dk,Dell Precision 7740 | i9-9980HK | 17.3&quot;,11019 kr.,32.0 GB,2000 GB,https://www.refurbed.dk/p/dell-precision-7740-9980hk/
refurbed.dk,Apple MacBook Pro 2020 | 13.3&quot; | Touch Bar,3285 kr.,16.0 GB,512 GB,https://www.refurbed.dk/p/apple-macbook-pro-2020-133-tb/
refurbed.dk,HP EliteBook 840 G6 | i5-8265U | 14&quot;,1895 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/hp-elitebook-840-g6-i5-8265u/
refurbed.dk,Lenovo ThinkPad T480 | i5-8350U | 14&quot;,1975 kr.,8.0 GB,256 GB,https://www.refurbed.dk/p/lenovo-tp-t480-8350u/
